username,id,name,joinDate,firstPublishedPostDate,postsCount,photosCount,videosCount,favoritedCount,favoritesCount,subscribePrice,isVerified,isPerformer,raw_json_path,status,_age_months,_likes_val,_posts_val,profile_link
yurikocomedy,519306272,Yuriko,2025-08-21T00:00:00+00:00,2025-08-28T00:00:00+00:00,23.0,23.0,7.0,219.0,51.0,0.0,True,True,json_data\519306272.json,ok,1.79,219.0,,https://onlyfans.com/519306272
scarletchaseoftv,505016713,Scarlet Chase,2025-06-11T00:00:00+00:00,2025-08-20T00:00:00+00:00,2.0,2.0,0.0,66.0,0.0,0.0,False,True,json_data\505016713.json,ok,4.12,66.0,,https://onlyfans.com/505016713
averypoppinga,468909268,Avery Poppinga,2024-12-31T00:00:00+00:00,2025-02-01T00:00:00+00:00,574.0,793.0,115.0,54531.0,40.0,0.0,True,True,json_data\468909268.json,ok,9.44,54531.0,,https://onlyfans.com/468909268
hagensmith,468910032,Hagen,2024-12-31T00:00:00+00:00,2025-01-31T00:00:00+00:00,234.0,252.0,32.0,3069.0,31.0,0.0,True,True,json_data\468910032.json,ok,9.44,3069.0,,https://onlyfans.com/468910032
justpeechitv,514041293,JustPeechi,2025-07-25T00:00:00+00:00,2025-09-04T00:00:00+00:00,6.0,6.0,0.0,1005.0,0.0,0.0,True,True,json_data\514041293.json,ok,2.68,1005.0,,https://onlyfans.com/514041293
collina,521870133,Hillary Taymour,2025-09-04T00:00:00+00:00,2025-09-05T00:00:00+00:00,20.0,23.0,2.0,211.0,13.0,0.0,True,True,json_data\521870133.json,ok,1.33,211.0,,https://onlyfans.com/521870133
josephparsons,519118050,Joseph Parsons,2025-08-20T00:00:00+00:00,2025-08-29T00:00:00+00:00,29.0,32.0,6.0,422.0,4.0,0.0,True,True,json_data\519118050.json,ok,1.82,422.0,,https://onlyfans.com/519118050
samnicoresti,521278995,Sam Nicoresti,2025-09-01T00:00:00+00:00,2025-09-02T00:00:00+00:00,13.0,45.0,13.0,80.0,0.0,0.0,True,True,json_data\521278995.json,ok,1.43,80.0,,https://onlyfans.com/521278995
paigeuncaged,464355707,Paige,2024-12-11T00:00:00+00:00,2025-06-07T00:00:00+00:00,12.0,12.0,0.0,3909.0,0.0,0.0,True,True,json_data\464355707.json,ok,10.1,3909.0,,https://onlyfans.com/464355707
sierraskye2,464573086,Sierra Skye,2024-12-12T00:00:00+00:00,2024-12-23T00:00:00+00:00,42.0,78.0,0.0,5166.0,0.0,0.0,True,True,json_data\464573086.json,ok,10.07,5166.0,,https://onlyfans.com/464573086
ecambagetv,518391368,Liz Cambage,2025-08-16T00:00:00+00:00,2025-09-01T00:00:00+00:00,5.0,5.0,0.0,418.0,0.0,0.0,True,True,json_data\518391368.json,ok,1.95,418.0,,https://onlyfans.com/518391368
ariraetv,453125184,Ari Rae,2024-10-24T00:00:00+00:00,2024-10-26T00:00:00+00:00,449.0,443.0,5.0,20738.0,0.0,0.0,True,True,json_data\453125184.json,ok,11.68,20738.0,,https://onlyfans.com/453125184
chloshowlab,514271552,Chlo LaBranche,2025-07-27T00:00:00+00:00,2025-07-29T00:00:00+00:00,31.0,25.0,5.0,551.0,1.0,0.0,True,True,json_data\514271552.json,ok,2.61,551.0,,https://onlyfans.com/514271552
cabwashington,514001688,Cab Washington,2025-07-25T00:00:00+00:00,2025-07-29T00:00:00+00:00,21.0,10.0,13.0,84.0,3.0,0.0,True,True,json_data\514001688.json,ok,2.68,84.0,,https://onlyfans.com/514001688
clairetawny,488620522,Claire Tawny,2025-03-27T00:00:00+00:00,2025-03-31T00:00:00+00:00,21.0,29.0,0.0,1409.0,195.0,0.0,True,True,json_data\488620522.json,ok,6.62,1409.0,,https://onlyfans.com/488620522
nickhoppingcomedy,514831066,Nick Hopping,2025-07-29T00:00:00+00:00,2025-08-02T00:00:00+00:00,20.0,6.0,13.0,233.0,0.0,0.0,True,True,json_data\514831066.json,ok,2.54,233.0,,https://onlyfans.com/514831066
bart_swings,482397695,Bart Swings,2025-02-27T00:00:00+00:00,2025-03-10T00:00:00+00:00,64.0,114.0,19.0,851.0,0.0,0.0,True,True,json_data\482397695.json,ok,7.54,851.0,,https://onlyfans.com/482397695
viviannababy,482705934,Vivianna,2025-02-28T00:00:00+00:00,2025-03-13T00:00:00+00:00,52.0,51.0,0.0,7580.0,1.0,0.0,True,True,json_data\482705934.json,ok,7.5,7580.0,,https://onlyfans.com/482705934
violetvlogs,490006840,Violet Brandani,2025-04-02T00:00:00+00:00,2025-04-20T00:00:00+00:00,18.0,19.0,0.0,7139.0,0.0,0.0,True,True,json_data\490006840.json,ok,6.42,7139.0,,https://onlyfans.com/490006840
gabrielle_moses_tv,493448863,GabTV,2025-04-18T00:00:00+00:00,2025-06-08T00:00:00+00:00,6.0,6.0,0.0,513.0,0.0,0.0,True,True,json_data\493448863.json,ok,5.89,513.0,,https://onlyfans.com/493448863
brandivandrewstv,461914282,Brandi Andrews,2024-12-03T00:00:00+00:00,2024-12-15T00:00:00+00:00,67.0,64.0,3.0,9438.0,93.0,0.0,True,True,json_data\461914282.json,ok,10.36,9438.0,,https://onlyfans.com/461914282
adrienneiapalucci,514687291,adrienne iapalucci,2025-07-29T00:00:00+00:00,2025-08-01T00:00:00+00:00,30.0,9.0,21.0,455.0,1.0,0.0,True,True,json_data\514687291.json,ok,2.54,455.0,,https://onlyfans.com/514687291
wyattfeegrado,512233964,Wyatt Feegrado,2025-07-16T00:00:00+00:00,2025-07-25T00:00:00+00:00,16.0,1.0,11.0,51.0,14.0,0.0,True,True,json_data\512233964.json,ok,2.97,51.0,,https://onlyfans.com/512233964
fitcheeks,470706742,🍑 Peachy Cheeks 🍑,2025-01-08T00:00:00+00:00,2025-01-10T00:00:00+00:00,102.0,177.0,42.0,32836.0,59.0,0.0,True,True,json_data\470706742.json,ok,9.18,32836.0,,https://onlyfans.com/470706742
valentinathegoddess,513335100,Valentina &lt;3,2025-07-22T00:00:00+00:00,2025-07-24T00:00:00+00:00,14.0,14.0,0.0,3705.0,0.0,0.0,True,True,json_data\513335100.json,ok,2.77,3705.0,,https://onlyfans.com/513335100
tiffani_time,485164760,Tiffani Time,2025-03-11T00:00:00+00:00,2025-03-22T00:00:00+00:00,89.0,95.0,12.0,6366.0,96.0,0.0,True,True,json_data\485164760.json,ok,7.14,6366.0,,https://onlyfans.com/485164760
sirenatv,470927035,Sirena,2025-01-08T00:00:00+00:00,2025-01-24T00:00:00+00:00,178.0,179.0,0.0,12528.0,5.0,0.0,True,True,json_data\470927035.json,ok,9.18,12528.0,,https://onlyfans.com/470927035
miahuffmanoftv,458910949,Mia Huffman OFTV,2024-11-20T00:00:00+00:00,2025-02-10T00:00:00+00:00,32.0,69.0,0.0,2529.0,1.0,0.0,True,True,json_data\458910949.json,ok,10.79,2529.0,,https://onlyfans.com/458910949
geeeena2,508008844,G E E N A,2025-06-25T00:00:00+00:00,2025-07-25T00:00:00+00:00,13.0,29.0,0.0,596.0,0.0,0.0,True,True,json_data\508008844.json,ok,3.66,596.0,,https://onlyfans.com/508008844
amyaugusttv,460590373,Amy August TV,2024-11-28T00:00:00+00:00,2024-11-28T00:00:00+00:00,118.0,113.0,0.0,905.0,0.0,0.0,True,True,json_data\460590373.json,ok,10.53,905.0,,https://onlyfans.com/460590373
ashamae4u_2,512430947,Ashley Sebera,2025-07-17T00:00:00+00:00,2025-07-24T00:00:00+00:00,14.0,28.0,0.0,686.0,0.0,0.0,True,True,json_data\512430947.json,ok,2.94,686.0,,https://onlyfans.com/512430947
falynfonoimoanafree,477211503,Falyn Fonoimoana,2025-02-04T00:00:00+00:00,2025-02-05T00:00:00+00:00,325.0,349.0,11.0,22084.0,8.0,0.0,True,True,json_data\477211503.json,ok,8.29,22084.0,,https://onlyfans.com/477211503
kylerehl,503029654,Kyle Rehl,2025-06-01T00:00:00+00:00,2025-06-02T00:00:00+00:00,53.0,36.0,17.0,106.0,0.0,0.0,True,True,json_data\503029654.json,ok,4.45,106.0,,https://onlyfans.com/503029654
ameliagarciaa,475485715,Amelia 💕,2025-01-27T00:00:00+00:00,2025-01-29T00:00:00+00:00,237.0,245.0,2.0,31709.0,115.0,0.0,True,True,json_data\475485715.json,ok,8.56,31709.0,,https://onlyfans.com/475485715
minsi_outdoors.tv,451264550,Minsi Outdoors TV,2024-10-16T00:00:00+00:00,2024-10-23T00:00:00+00:00,37.0,67.0,15.0,8417.0,4.0,0.0,True,True,json_data\451264550.json,ok,11.94,8417.0,,https://onlyfans.com/451264550
trukaittv,478108337,Kait,2025-02-08T00:00:00+00:00,2025-02-25T00:00:00+00:00,43.0,46.0,1.0,10930.0,18.0,0.0,True,True,json_data\478108337.json,ok,8.16,10930.0,,https://onlyfans.com/478108337
allieoopstv,509558875,Allie Oops,2025-07-03T00:00:00+00:00,2025-07-15T00:00:00+00:00,41.0,42.0,0.0,2426.0,42.0,0.0,True,True,json_data\509558875.json,ok,3.4,2426.0,,https://onlyfans.com/509558875
salahoftv,479786282,Salah🦋,2025-02-15T00:00:00+00:00,2025-02-19T00:00:00+00:00,172.0,173.0,0.0,12965.0,0.0,0.0,True,True,json_data\479786282.json,ok,7.93,12965.0,,https://onlyfans.com/479786282
mahinamei,479059933,mahina mei 🌙,2025-02-12T00:00:00+00:00,2025-03-28T00:00:00+00:00,8.0,9.0,0.0,7446.0,1.0,0.0,True,True,json_data\479059933.json,ok,8.03,7446.0,,https://onlyfans.com/479059933
irenetu,502542446,Irene Tu,2025-05-30T00:00:00+00:00,2025-06-01T00:00:00+00:00,42.0,25.0,13.0,104.0,0.0,0.0,True,True,json_data\502542446.json,ok,4.51,104.0,,https://onlyfans.com/502542446
asian.candy2,477311145,Azula,2025-02-04T00:00:00+00:00,2025-04-01T00:00:00+00:00,13.0,15.0,0.0,762.0,0.0,0.0,True,True,json_data\477311145.json,ok,8.29,762.0,,https://onlyfans.com/477311145
cleo.oftv,471033114,Cleo,2025-01-09T00:00:00+00:00,2025-01-14T00:00:00+00:00,33.0,30.0,3.0,2796.0,103.0,0.0,True,True,json_data\471033114.json,ok,9.15,2796.0,,https://onlyfans.com/471033114
kendelkaytv,510206947,Kendel🦋,2025-07-06T00:00:00+00:00,2025-07-17T00:00:00+00:00,5.0,5.0,0.0,696.0,0.0,0.0,True,True,json_data\510206947.json,ok,3.3,696.0,,https://onlyfans.com/510206947
mikatnite,486461320,MIKKY,2025-03-17T00:00:00+00:00,2025-03-18T00:00:00+00:00,145.0,211.0,54.0,6890.0,181.0,0.0,True,True,json_data\486461320.json,ok,6.95,6890.0,,https://onlyfans.com/486461320
jetskijohnson,502340376,Jessie “Jetski” Johnson,2025-05-29T00:00:00+00:00,2025-06-07T00:00:00+00:00,21.0,37.0,3.0,301.0,0.0,0.0,True,True,json_data\502340376.json,ok,4.55,301.0,,https://onlyfans.com/502340376
only.tessa,502328692,OnlyTessa 🌸,2025-05-29T00:00:00+00:00,2025-07-03T00:00:00+00:00,118.0,101.0,1.0,2506.0,1.0,0.0,True,True,json_data\502328692.json,ok,4.55,2506.0,,https://onlyfans.com/502328692
abigaillutztv,508577196,Abigail Lutz,2025-06-28T00:00:00+00:00,2025-07-24T00:00:00+00:00,48.0,48.0,0.0,4204.0,0.0,0.0,True,True,json_data\508577196.json,ok,3.56,4204.0,,https://onlyfans.com/508577196
ashleygolfgirltv,491301875,Ashley,2025-04-08T00:00:00+00:00,2025-07-09T00:00:00+00:00,20.0,21.0,0.0,1093.0,0.0,0.0,True,True,json_data\491301875.json,ok,6.22,1093.0,,https://onlyfans.com/491301875
giannadiortv,454029128,GiannaDiorTV,2024-10-29T00:00:00+00:00,2025-01-31T00:00:00+00:00,44.0,44.0,0.0,2496.0,0.0,0.0,True,True,json_data\454029128.json,ok,11.51,2496.0,,https://onlyfans.com/454029128
selenavixenn,480889298,Selena Vixenn,2025-02-20T00:00:00+00:00,2025-03-12T00:00:00+00:00,141.0,139.0,7.0,8235.0,1.0,0.0,True,True,json_data\480889298.json,ok,7.77,8235.0,,https://onlyfans.com/480889298
delanyprecilla,465825141,Delany Precilla,2024-12-18T00:00:00+00:00,2025-01-28T00:00:00+00:00,255.0,251.0,4.0,5063.0,94.0,0.0,True,True,json_data\465825141.json,ok,9.87,5063.0,,https://onlyfans.com/465825141
stevenhaasof,489868847,Steven Haas,2025-04-02T00:00:00+00:00,2025-04-09T00:00:00+00:00,78.0,131.0,34.0,463.0,4.0,0.0,True,True,json_data\489868847.json,ok,6.42,463.0,,https://onlyfans.com/489868847
ki_almighty,457187448,Kieron Harrell,2024-11-13T00:00:00+00:00,2024-11-27T00:00:00+00:00,84.0,55.0,15.0,743.0,1.0,0.0,True,True,json_data\457187448.json,ok,11.02,743.0,,https://onlyfans.com/457187448
ppwyang2,482254995,Paris,2025-02-26T00:00:00+00:00,2025-03-28T00:00:00+00:00,11.0,17.0,0.0,763.0,0.0,0.0,True,True,json_data\482254995.json,ok,7.57,763.0,,https://onlyfans.com/482254995
realjamesmwaura,498734386,James Mwaura,2025-05-12T00:00:00+00:00,2025-05-14T00:00:00+00:00,11.0,10.0,4.0,184.0,0.0,0.0,True,True,json_data\498734386.json,ok,5.11,184.0,,https://onlyfans.com/498734386
alexdrags,498163359,Alex Dragicevich,2025-05-10T00:00:00+00:00,2025-05-10T00:00:00+00:00,73.0,1.0,72.0,184.0,0.0,0.0,True,True,json_data\498163359.json,ok,5.17,184.0,,https://onlyfans.com/498163359
sachiavick,467659383,Sachia Vickery,2024-12-26T00:00:00+00:00,2025-01-13T00:00:00+00:00,49.0,36.0,16.0,4486.0,2.0,12.99,True,True,json_data\467659383.json,ok,9.61,4486.0,,https://onlyfans.com/467659383
carynbeaumontx,466587936,Caryn Beaumont,2024-12-22T00:00:00+00:00,2024-12-30T00:00:00+00:00,140.0,130.0,20.0,11012.0,196.0,0.0,True,True,json_data\466587936.json,ok,9.74,11012.0,,https://onlyfans.com/466587936
crystalrose.free,462476925,Crystal Rose Free,2024-12-04T00:00:00+00:00,2025-02-12T00:00:00+00:00,164.0,170.0,2.0,9119.0,0.0,0.0,True,True,json_data\462476925.json,ok,10.33,9119.0,,https://onlyfans.com/462476925
brisummerstv,505159586,Bri Summers,2025-06-11T00:00:00+00:00,2025-06-16T00:00:00+00:00,144.0,285.0,16.0,4002.0,0.0,0.0,True,True,json_data\505159586.json,ok,4.12,4002.0,,https://onlyfans.com/505159586
dandavieshere,498917705,Dan Davies,2025-05-13T00:00:00+00:00,2025-05-16T00:00:00+00:00,66.0,52.0,14.0,374.0,1.0,0.0,True,True,json_data\498917705.json,ok,5.07,374.0,,https://onlyfans.com/498917705
lizmiele,497432883,Liz Miele,2025-05-06T00:00:00+00:00,2025-05-07T00:00:00+00:00,72.0,61.0,47.0,787.0,9.0,0.0,True,True,json_data\497432883.json,ok,5.3,787.0,,https://onlyfans.com/497432883
thelittleexplorer,489521054,The Little Explorer,2025-03-31T00:00:00+00:00,2025-03-31T00:00:00+00:00,160.0,1058.0,0.0,15792.0,2.0,0.0,True,True,json_data\489521054.json,ok,6.49,15792.0,,https://onlyfans.com/489521054
ittybittycherryfree,487031873,Cherry 🍒🥧,2025-03-20T00:00:00+00:00,2025-03-25T00:00:00+00:00,139.0,135.0,10.0,9528.0,144.0,0.0,True,True,json_data\487031873.json,ok,6.85,9528.0,,https://onlyfans.com/487031873
livmacdonald,481881787,Liv Mac,2025-02-25T00:00:00+00:00,2025-03-08T00:00:00+00:00,439.0,509.0,35.0,31422.0,85.0,0.0,True,True,json_data\481881787.json,ok,7.6,31422.0,,https://onlyfans.com/481881787
mellaniemonroe.tv,507668543,Mellanie Monroe TV,2025-06-24T00:00:00+00:00,2025-06-27T00:00:00+00:00,49.0,48.0,0.0,2464.0,5.0,0.0,True,True,json_data\507668543.json,ok,3.69,2464.0,,https://onlyfans.com/507668543
stoneymcblaze420,474351978,StoneyMcBlaze,2025-01-23T00:00:00+00:00,2025-02-14T00:00:00+00:00,68.0,54.0,15.0,241.0,9.0,0.0,True,True,json_data\474351978.json,ok,8.69,241.0,,https://onlyfans.com/474351978
